price,bedrooms,bathrooms,constructedarea,zipcode,yearbuilt,lotareasqft,avgschoolrating,avgschooldist,crimepercentage
374900,4,3,2394.0,77022,2022,5064.0,4.666666666666667,1.1666666666666667,1.847975105
469990,3,3,1812.0,77043,2022,2349.0,4.666666666666667,1.5999999999999999,0.794289818
464900,4,3,2169.0,77365,2023,5400.0,7.333333333333333,2.4,0.072682959
469900,4,3,2180.0,77365,2023,5399.0,7.333333333333333,2.4,0.072682959
289990,3,2,1574.0,77053,2022,4400.0,3.3333333333333335,1.4333333333333333,0.581463669
330000,3,3,2189.0,77088,2022,3000.0,999.0,999.0,1.378364851
382090,3,3,1650.0,77080,2022,7775.7013398033405,3.6666666666666665,0.7999999999999999,1.212108023
367490,2,3,1495.0,77080,2022,7775.7013398033405,3.6666666666666665,0.7666666666666667,1.212108023
288000,3,3,1592.0,77088,2022,1799.028,999.0,999.0,1.378364851
297990,3,2,1396.0,77047,2022,5000.0,2.6666666666666665,2.9666666666666663,0.683742084
249990,3,3,1443.0,77336,2022,7775.7013398033405,4.666666666666667,2.9,0.103584097
365995,4,3,2961.0,77068,2023,7775.7013398033405,3.0,1.5333333333333334,1.0270404547925376
724995,4,4,2910.0,77021,2023,2625.0,4.333333333333333,2.1333333333333333,1.996822841
339900,3,3,1568.0,77073,2022,2135.0,999.0,999.0,0.009575001
344900,3,3,1568.0,77073,2022,7775.7013398033405,999.0,999.0,0.009575001
749995,4,4,3201.0,77021,2023,2625.0,4.333333333333333,2.1333333333333333,1.996822841
430000,4,3,2731.0,77365,2022,7775.7013398033405,7.333333333333333,2.1666666666666665,0.072682959
367995,4,3,3031.0,77068,2023,7775.7013398033405,3.0,1.5333333333333334,1.0270404547925376
259990,3,2,1427.0,77336,2022,7775.7013398033405,4.666666666666667,2.2333333333333334,0.103584097
402090,3,3,1771.0,77080,2022,7775.7013398033405,3.6666666666666665,0.7666666666666667,1.212108023
384490,3,3,1771.0,77080,2022,7775.7013398033405,3.6666666666666665,0.7666666666666667,1.212108023
401140,3,3,1771.0,77080,2022,7775.7013398033405,3.6666666666666665,0.7666666666666667,1.212108023
375940,3,3,1650.0,77080,2022,7775.7013398033405,3.6666666666666665,0.7666666666666667,1.212108023
362040,3,3,1670.0,77091,1993,1725.0,2.6666666666666665,1.5333333333333332,1.228646661
344990,2,2,1468.0,77091,1993,1725.0,2.6666666666666665,1.5333333333333332,1.228646661
305000,3,3,1743.0,77088,1993,3000.0,3.3333333333333335,0.46666666666666673,1.378364851
449900,3,2,1984.0,77365,2023,5430.0,7.333333333333333,2.4,0.072682959
449900,3,2,1950.0,77365,2023,5437.0,7.333333333333333,2.4,0.072682959
459900,3,2,1984.0,77365,2023,5885.0,7.333333333333333,2.4,0.072682959
469900,4,3,2180.0,77365,2023,7913.0,7.333333333333333,2.4,0.072682959
429900,3,2,1950.0,77365,2023,5439.0,7.333333333333333,2.4,0.072682959
469900,4,3,2169.0,77365,2023,5430.0,7.333333333333333,2.4,0.072682959
459900,3,2,2026.0,77365,2023,5430.0,7.333333333333333,2.4,0.072682959
372125,4,3,2836.0,77044,2023,7775.7013398033405,4.0,3.4,0.057014776
396025,4,3,2757.0,77044,2022,7775.7013398033405,4.0,3.4,0.057014776
339095,3,2,1617.0,77047,2023,11492.999990999999,2.6666666666666665,2.9666666666666663,0.683742084
354900,3,3,2021.0,77051,2022,5000.688,2.6666666666666665,0.8333333333333334,1.205144387
286990,3,2,1536.0,77049,2022,7775.7013398033405,4.666666666666667,1.2666666666666668,0.070506822
444900,3,4,2000.0,77055,2022,2400.0,999.0,999.0,1.539834178
439000,3,4,2000.0,77055,2022,2400.0,999.0,999.0,1.539834178
449900,3,2,1984.0,77365,2023,5430.0,7.333333333333333,2.4,0.072682959
301465,3,2,1528.0,77047,2023,5000.0,2.6666666666666665,1.8666666666666665,0.683742084
225000,2,2,1339.0,77037,1965,13499.244,999.0,999.0,0.596696625
329900,3,3,1535.0,77091,2022,1886.0,2.6666666666666665,1.0333333333333334,1.228646661
382840,3,3,1650.0,77080,2022,7775.7013398033405,2.6666666666666665,0.5,1.212108023
389190,3,3,1650.0,77080,2022,7775.7013398033405,2.6666666666666665,0.5,1.212108023
534995,4,4,2347.0,77043,2022,2381.0,4.666666666666667,1.5999999999999999,0.794289818
376640,2,3,1495.0,77080,2022,7775.7013398033405,2.6666666666666665,0.5,1.212108023
387555,3,3,1771.0,77080,2022,7775.7013398033405,3.6666666666666665,0.7666666666666667,1.212108023
380000,3,3,1902.0,77092,2023,2700.0,2.0,1.5999999999999999,2.53650469
405990,3,3,1942.0,77080,2022,7775.7013398033405,2.6666666666666665,0.5,1.212108023
410690,3,3,2052.0,77016,2022,7775.7013398033405,3.6666666666666665,0.7999999999999999,1.621221683
422440,3,3,2052.0,77080,2022,7775.7013398033405,2.6666666666666665,0.5,1.212108023
419840,3,3,2052.0,77080,2022,7775.7013398033405,2.6666666666666665,0.5,1.212108023
414090,3,3,2052.0,77080,2022,7775.7013398033405,2.6666666666666665,0.5,1.212108023
509990,4,4,2406.0,77043,2022,2349.0,4.666666666666667,1.5999999999999999,0.794289818
439000,3,4,2028.0,77023,2022,1469.0,3.3333333333333335,0.26666666666666666,1.06935347
389900,3,4,1928.0,77091,2023,7775.7013398033405,2.6666666666666665,0.9666666666666667,1.228646661
389900,3,4,1928.0,77091,2023,7775.7013398033405,2.6666666666666665,0.9666666666666667,1.228646661
389900,3,4,1928.0,77091,2023,7775.7013398033405,2.6666666666666665,0.9666666666666667,1.228646661
369900,3,3,1763.0,77091,2023,7775.7013398033405,2.6666666666666665,0.9333333333333332,1.228646661
272598,4,3,2067.0,77073,2022,3220.0,999.0,999.0,0.009575001
283636,4,3,2312.0,77407,2022,3224.0,999.0,999.0,0.000435227
244015,3,3,1643.0,77073,2022,3672.0,999.0,999.0,0.009575001
386025,4,3,2836.0,77049,2023,7775.7013398033405,4.0,2.9,0.070506822
508101,4,4,2959.0,77493,2022,14374.800000000001,2.6666666666666665,1.1666666666666667,0.000435227
308055,3,3,1865.0,77051,2022,7775.7013398033405,3.6666666666666665,0.6333333333333334,1.205144387
460169,4,3,2575.0,77493,2022,7535.0001,2.6666666666666665,1.1666666666666667,0.000435227
348565,4,4,2172.0,77051,2022,7775.7013398033405,3.6666666666666665,0.6333333333333334,1.205144387
306990,3,2,1617.0,77047,2023,7775.7013398033405,2.6666666666666665,1.8999999999999997,0.683742084
344990,4,3,2322.0,77047,2023,7775.7013398033405,2.6666666666666665,1.8999999999999997,0.683742084
322990,3,3,1813.0,77047,2023,7775.7013398033405,2.6666666666666665,1.8999999999999997,0.683742084
274990,3,2,1288.0,77047,2023,7775.7013398033405,2.6666666666666665,1.8999999999999997,0.683742084
281490,4,3,2029.0,77070,2022,3780.0,5.0,0.7000000000000001,0.720736405
339900,3,3,1757.0,77091,2023,1681.0,2.6666666666666665,1.5333333333333332,1.228646661
344900,4,3,1761.0,77091,2022,1681.0,2.6666666666666665,1.5333333333333332,1.228646661
284990,4,3,1918.0,77336,2022,7775.7013398033405,4.666666666666667,2.9,0.103584097
264990,3,3,1597.0,77336,2022,4000.0,4.666666666666667,2.9,0.103584097
360287,3,3,1727.0,77045,2022,2178.0,2.6666666666666665,1.4333333333333333,1.101995517
399900,3,4,1730.0,77004,2022,2250.0,3.0,1.3666666666666665,2.457728549
274990,3,3,1774.0,77336,2022,4000.0,4.666666666666667,2.9,0.103584097
264990,3,2,1427.0,77336,2022,7775.7013398033405,4.666666666666667,2.9,0.103584097
390000,3,4,2000.0,77021,2022,1572.516,3.0,1.1333333333333335,1.996822841
485000,5,5,3126.0,77365,2022,7775.7013398033405,7.333333333333333,2.1666666666666665,0.072682959
349995,4,2,2398.0,77044,2022,7775.7013398033405,4.0,3.1999999999999997,0.057014776
799900,3,3,2601.0,77008,2022,3275.0,5.0,0.6,1.325702348
489990,3,4,2212.0,77054,2023,1655.0,4.0,2.0,1.553326225
308705,3,2,1535.0,77047,2022,7775.7013398033405,2.6666666666666665,1.8333333333333333,0.683742084
469990,3,4,1914.0,77054,2023,7775.7013398033405,4.0,2.0,1.553326225
499990,3,4,2212.0,77054,2023,1655.0,4.0,2.0,1.553326225
347265,4,4,2413.0,77049,2022,7775.7013398033405,4.0,3.6999999999999997,0.070506822
325335,3,3,1865.0,77049,2023,7775.7013398033405,4.0,3.6999999999999997,0.070506822
364990,4,3,2836.0,77049,2022,7775.7013398033405,4.0,3.6999999999999997,0.070506822
379475,4,3,2657.0,77049,2022,7775.7013398033405,4.0,3.6999999999999997,0.070506822
795000,3,5,2770.0,77008,2003,5035.536,4.0,1.0333333333333332,1.325702348
300045,3,2,1288.0,77047,2022,7775.7013398033405,2.6666666666666665,2.9666666666666663,0.683742084
394900,3,4,1806.0,77018,2022,1747.0,4.333333333333333,1.0666666666666667,0.95010119
394900,3,4,1806.0,77018,2022,1747.0,4.333333333333333,1.0666666666666667,0.95010119
375000,4,3,2225.0,77096,1967,10040.58,4.0,0.9333333333333332,1.254325071
271490,4,3,1814.0,77070,2022,3780.0,5.0,0.7000000000000001,0.720736405
299900,3,2,2158.627875809694,77078,1993,8197.992,2.6666666666666665,1.2,0.609318216
409900,3,4,1730.0,77004,2022,1750.0,3.0,1.3999999999999997,2.457728549
539900,3,3,2426.0,77018,2022,3305.0,999.0,999.0,0.95010119
623950,4,4,4009.0,77089,2022,9159.0,6.0,1.8333333333333333,0.858703458
449995,3,4,2221.0,77055,2022,1883.0,999.0,999.0,1.539834178
265000,3,3,1395.0,77051,2022,2500.0,3.6666666666666665,0.5666666666666668,1.205144387
365000,3,3,2212.0,77091,2022,7775.7013398033405,2.6666666666666665,1.2333333333333332,1.228646661
264990,3,2,1427.0,77336,2022,7775.7013398033405,4.666666666666667,2.9,0.103584097
235000,3,3,1551.0,77029,2022,5000.688,5.0,1.2,0.419559115
264990,3,2,1427.0,77336,2022,7775.7013398033405,4.666666666666667,2.9,0.103584097
714900,3,4,2648.0,77006,2021,1525.0,999.0,999.0,1.434509172
