zid,Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT
27949616,29.866007,-95.37827,269850,4,1,1643,77076,0,0,1,0,1956,1,1,1133,5,0.3,3,0.7,1,1.6,1,219950,3998,7458
27949698,29.79879,-95.48831,695000,5,3,2344,77055,0,0,1,0,1957,1,2,2919,3,4,3,4,3,6,0,0,12324,9291.348
27949715,29.795141,-95.48829,573000,4,3,2562,77055,0,0,1,0,1957,1,0,2407,3,4,3,4,3,6,1,571150,2467,9239.076
27950247,29.733894,-95.47098,875000,4,5,3710,77056,1,1,1,0,1999,2,2,3675,7,0.2,7,1,2,1.8,0,-175000,169,6599.34
27950286,29.73231,-95.46948,649999,5,4,3616,77056,1,0,1,0,2002,3,2,2730,7,0.3,7,1.1,2,1.9,0,0,0,3301.848
27950427,29.69983,-95.36213,287500,2,2,1159,77021,0,0,1,0,1940,1,0,1208,4,0.4,3,0.5,2,1.5,1,112500,239,7004.448
27950539,29.698006,-95.36433,275000,3,2,2734,77021,0,0,1,0,1945,1,0,1155,4,0.5,3,0.4,2,1.6,0,-24990,302,8681.508
27951179,29.693819,-95.33767,259000,3,2,1316,77021,0,0,1,0,1953,1,0,1088,3,0.3,3,1.6,2,2.1,1,129100,243,6690.816
27951209,29.693583,-95.33795,275000,4,2,1576,77021,0,0,1,0,1953,1,0,1155,3,0.3,3,1.6,2,2.1,0,0,0,6599.34
27951581,29.689278,-95.34289,295000,4,2,1509,77021,0,0,1,0,1950,1,0,1239,3,0.3,3,1.3,2,2.2,1,260500,2905,5789.124
27951591,29.688824,-95.34098,204900,3,2,1293,77021,0,0,1,0,1950,1,0,861,3,0.4,3,1.4,2,2.3,1,35000,1588,6973.956
27951699,29.69044,-95.343254,249999,4,2,1402,77021,0,0,1,0,1952,1,0,1050,3,0.2,3,1.3,2,2.1,1,210009,1795,6599.34
27951817,29.693777,-95.34485,245900,3,2,1606,77021,0,0,1,0,1950,1,0,1033,3,0.1,3,1.2,2,1.9,1,53900,979,6712.596
27952254,29.801455,-95.47083,340000,3,2,1039,77055,0,0,1,0,1950,1,2,1428,3,4,3,4,3,6,0,0,10898,7200.468
27952317,29.801453,-95.47471,419900,3,2,1614,77055,1,0,1,0,1951,1,2,1764,3,4,3,4,3,6,1,418250,4606,7200.468
27952360,29.80228,-95.47661,874900,4,4,2877,77055,1,0,1,0,2022,2,2,3675,3,4,3,4,3,6,1,724900,1144,6600
27952396,29.800135,-95.47338,480000,3,2,1350,77055,0,0,1,0,1952,1,2,2016,3,4,3,4,3,6,1,230000,911,7200.468
27952506,29.799444,-95.47562,445000,3,3,1775,77055,0,0,1,0,1956,1,0,1869,3,4,3,4,3,6,0,-40000,95,7998
27952512,29.80044,-95.47538,395000,4,3,1696,77055,1,0,1,0,1956,1,1,1659,3,4,3,4,3,6,1,80001,1079,8637.948
27953756,29.833597,-95.32182,275000,4,3,1716,77016,0,0,1,0,1940,1,0,1155,3,0.6,3,1.5,3,0.8,0,0,0,4774.176
27953810,29.790384,-95.489685,900000,5,5,4686,77055,1,0,1,0,1981,2,0,3780,8,0.4,6,1.8,6,2.2,0,0,0,19998.396
27954000,29.773396,-95.49109,900000,3,3,2437,77024,1,1,1,0,1955,1,2,3780,7,0.5,6,1.7,6,2.1,1,50000,3008,13595.076
27954365,29.820112,-95.3029,465000,3,1,3100,77028,1,0,1,0,2023,1,3,1953,5,0.1,3,1.8,3,0.8,1,350000,98,9748.728
27954568,29.66581,-95.44445,625000,4,3,2425,77025,1,0,1,0,2022,2,2,2625,4,0.8,6,2.3,2,2.5,1,512000,3343,7148.196
27954636,29.666952,-95.44045,399995,3,3,1888,77025,1,0,1,0,1952,1,1,1680,4,0.7,6,2.2,2,2.8,1,179995,235,7200.468
27954688,29.667448,-95.44026,846500,4,4,3846,77025,1,0,1,0,2022,2,2,3555,4,0.7,6,2.1,2,2.8,1,727000,3285,7200.468
27954838,29.670252,-95.44049,309900,3,2,1710,77025,0,0,1,0,1953,1,1,1302,4,0.5,6,2,2,2.9,0,0,0,7200.468
27954899,29.66937,-95.44432,750000,4,5,3200,77025,1,0,1,0,2022,2,2,3150,4,0.6,6,2.1,2,2.6,1,565000,1111,8559.54
27955102,29.675804,-95.44157,345000,3,2,1608,77025,1,0,1,0,1953,1,1,1449,4,0.1,6,1.6,6,2,1,195000,3753,7200.468
27955153,29.84434,-95.37059,349900,3,2,2822,77022,0,1,1,0,1976,1,0,1470,7,0.2,7,0.4,1,0.6,0,0,0,14187.492
