Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT
29.81194,-95.40022,425000,3,4,1980,77008,1,0,1,0,2014,3,2,1785,5,0.6,5,0.5,5,1.1,1,267800,4452,1751.112
29.80956,-95.40797,400000,3,1,1352,77008,0,0,1,0,1931,1,0,1680,5,0.3,5,0.7,5,1.3,0,-100000,77,3402.036
29.80772,-95.40116,839000,3,3,2528,77008,1,0,1,0,2022,2,2,3524,5,0.4,5,0.3,5,0.9,1,314000,848,3275.0
29.804033,-95.41298,660000,3,3,3156,77008,1,0,1,0,2007,3,2,2772,4,1.2,5,0.9,3,1.5,0,0,4279,3275.712
29.801395,-95.3941,665000,2,1,1165,77008,1,0,1,0,1940,1,3,2793,8,0.3,5,0.3,5,0.4,0,-35000,25,6599.34
29.799677,-95.4006,850000,3,4,2171,77008,0,0,1,0,1920,1,0,3570,4,0.6,5,0.3,5,0.5,0,0,0,4996.332
29.796862,-95.40272,715000,3,2,1868,77008,1,0,1,0,1930,2,2,3003,4,0.4,5,0.6,5,0.6,1,140000,843,6600.0
29.794888,-95.40204,550000,3,1,1488,77008,1,0,1,0,1930,1,2,2310,4,0.4,5,0.7,5,0.6,0,-24000,70,6599.34
29.788965,-95.40523,765000,3,2,2051,77008,1,0,1,0,1920,1,1,3213,4,0.4,6,1.2,5,0.8,1,505100,4018,4356.0
29.789602,-95.398315,481000,2,3,2484,77008,0,0,1,0,1920,2,0,2516,8,0.3,6,0.8,5,0.5,1,174000,1875,2739.924
29.785765,-95.40631,675000,2,1,1170,77007,0,0,1,0,1936,1,0,2835,4,0.5,6,1.3,5,1.0,0,-25000,37,7583.796
29.786724,-95.400696,750000,4,2,1600,77007,0,0,1,0,1970,2,0,3150,8,0.3,6,0.9,5,0.7,0,0,0,6534.0
29.78674,-95.39957,799000,3,3,2267,77007,1,0,1,0,1995,1,2,3356,8,0.2,6,0.9,5,0.7,0,-100000,1948,6599.34
29.821144,-95.394875,549000,3,4,2133,77018,1,0,1,0,2023,2,2,2306,4,0.4,3,2.7,3,0.2,1,229000,8085,3339.0
29.817446,-95.395546,560000,3,4,2200,77018,1,0,1,0,2022,2,2,2352,4,0.3,5,0.8,3,0.4,1,400010,2659,3001.284
29.817005,-95.39439,399900,2,1,1075,77018,0,0,1,0,1997,1,0,1680,4,0.3,5,0.8,3,0.4,1,250000,3951,9374.112
29.821648,-95.39184,350000,3,3,1710,77022,1,0,1,0,2012,2,2,1470,4,0.3,3,2.8,3,0.4,1,200100,5854,5998.212
29.822432,-95.3903,250000,3,1,1038,77022,1,0,1,0,1952,1,2,1050,4,0.3,3,2.9,3,0.5,1,154500,3723,4800.312
29.822441,-95.389565,435000,3,3,1942,77022,1,0,1,0,2022,2,2,1827,4,0.3,3,2.9,3,0.5,0,0,7361,3841.992
29.82139,-95.38859,470000,3,3,2011,77022,1,0,1,0,2021,2,2,1974,4,0.3,3,3.0,3,0.6,1,330100,4936,3998.808
29.81668,-95.3987,525000,3,4,2836,77018,1,0,1,0,2015,3,2,2205,4,0.5,5,0.8,3,0.4,0,-174999,2529,2596.176
29.81669,-95.39844,547000,3,3,2309,77018,1,0,1,0,2022,2,2,2297,4,0.5,5,0.8,3,0.4,0,0,0,2596.176
29.792177,-95.35833,279000,2,1,480,77009,0,0,1,0,1945,1,0,1172,5,0.2,5,0.6,2,0.6,1,54000,1873,5501.628
29.793879,-95.35967,359900,3,2,1450,77009,0,0,1,0,1950,1,0,1512,5,0.2,5,0.8,2,0.7,0,-5000,8421,5501.628
29.794615,-95.36344,325000,2,1,720,77009,0,0,1,0,1940,1,0,1365,5,0.4,5,0.9,2,0.8,0,0,9237,4726.26
29.79684,-95.363144,415000,3,2,1313,77009,0,0,1,0,2022,1,0,1743,5,0.4,5,1.0,2,0.9,1,225100,429,5501.628
29.797253,-95.364075,225000,2,2,616,77009,0,0,1,0,1949,1,0,945,5,0.4,5,1.1,2,0.9,0,-5000,82,5501.628
29.800781,-95.36412,398000,5,2,1391,77009,1,0,1,0,1935,1,3,1672,5,0.5,5,1.3,2,1.2,0,-31000,15,5501.628
29.803,-95.363716,595000,4,4,3256,77009,0,0,1,0,1945,1,4,2499,6,0.4,5,1.4,2,1.3,1,390000,3485,10998.9
29.803778,-95.364555,399000,3,2,1836,77009,0,0,1,0,1938,1,0,1676,6,0.4,5,1.4,2,1.3,0,-23000,24,5501.628
29.732986,-95.37909,339900,4,3,2208,77004,0,0,1,0,1920,2,0,1428,3,4.0,3,4.0,3,6.0,0,-55100,2955,3001.284
29.77389,-95.403625,399000,3,4,2194,77007,1,0,1,0,2007,3,1,1676,8,1.4,6,1.5,5,1.5,1,215100,4811,1718.0
29.772505,-95.405014,225000,2,1,910,77007,0,0,1,0,1920,1,0,945,8,1.3,6,1.6,5,1.6,1,65000,2687,3201.66
29.732819,-95.34679,489000,3,4,2130,77004,1,0,1,0,2023,4,2,2054,4,1.0,3,2.8,2,0.8,1,379000,722,5000.688
