Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT,avgSchoolRating,avgSchoolDist
29.780363,-95.29191,800000,2.0,2,952.0,77020,1090,2.29,1,0,1,0,1940.0,1.0,1,5.0,0.6,3,1.3,2,1.8,0,0,0,6499.152,3.3333333333333335,1.2333333333333334
29.778233,-95.29581,235000,3.0,2,1200.0,77020,1090,2.29,0,0,1,0,1948.0,1.0,0,5.0,0.3,3,1.1,2,1.6,0,0,30,5000.688,3.3333333333333335,1.0
29.743114,-95.366615,669900,3.0,3,2514.0,77004,1090,2.29,1,0,1,0,2022.0,2.0,2,999.0,999.0,999,999.0,999,999.0,1,272900,3545,3125.0,999.0,999.0
29.73487,-95.35929,265000,2.0,1,820.0,77004,1090,2.29,0,0,1,0,1930.0,1.0,0,4.0,0.4,3,2.7,2,0.8,1,185000,3024,3990.096,3.0,1.3
29.734657,-95.35905,394999,3.0,4,1573.0,77004,1090,2.29,1,0,1,0,2022.0,2.0,2,4.0,0.4,3,2.7,2,0.8,1,339200,5171,2984.0,3.0,1.3
29.735535,-95.3625,414900,3.0,4,1730.0,77004,1090,2.29,1,0,1,0,2022.0,3.0,2,4.0,0.4,3,2.8,2,0.9,0,-15000,61,2250.0,3.0,1.3666666666666665
29.730453,-95.36196,308990,4.0,3,1462.0,77004,1090,2.29,0,0,1,0,1936.0,1.0,0,4.0,0.1,3,2.5,2,0.7,0,-20810,433,3998.808,3.0,1.0999999999999999
29.734463,-95.368484,484900,3.0,4,2104.0,77004,1090,2.29,1,0,1,0,2022.0,3.0,2,4.0,0.5,3,2.7,2,1.1,0,-19800,186,1398.276,3.0,1.4333333333333336
29.728745,-95.36061,419900,3.0,4,1737.0,77004,1090,2.29,1,0,1,0,2022.0,3.0,2,4.0,0.1,3,2.4,2,0.5,1,209900,2723,1995.0,3.0,1.0
29.730043,-95.36285,499999,3.0,4,2492.0,77004,1090,2.29,0,0,1,0,1938.0,1.0,0,4.0,0.1,3,2.4,2,0.7,1,274999,479,5039.892,3.0,1.0666666666666667
29.729382,-95.364746,288000,2.0,1,660.0,77004,1090,2.29,0,0,1,0,1930.0,1.0,0,4.0,0.2,3,2.4,2,0.8,1,168000,1919,2500.344,3.0,1.1333333333333335
29.73309,-95.36799,210000,3.0,1,1360.0,77004,1090,2.29,0,0,1,0,1949.0,1.0,0,4.0,0.5,3,2.6,2,1.1,0,-140000,1859,6250.86,3.0,1.4000000000000001
29.81194,-95.40022,425000,3.0,4,1980.0,77008,1090,2.29,1,0,1,0,2014.0,3.0,2,5.0,0.6,5,0.5,5,1.1,1,267800,4452,1751.112,5.0,0.7333333333333334
29.80956,-95.40797,400000,3.0,1,1352.0,77008,1090,2.29,0,0,1,0,1931.0,1.0,0,5.0,0.3,5,0.7,5,1.3,0,-100000,77,3402.036,5.0,0.7666666666666666
29.80772,-95.40116,839000,3.0,3,2528.0,77008,1090,2.29,1,0,1,0,2022.0,2.0,2,5.0,0.4,5,0.3,5,0.9,1,314000,848,3275.0,5.0,0.5333333333333333
29.804033,-95.41298,660000,3.0,3,3156.0,77008,1090,2.29,1,0,1,0,2007.0,3.0,2,4.0,1.2,5,0.9,3,1.5,0,0,4279,3275.712,4.0,1.2
29.801395,-95.3941,665000,2.0,1,1165.0,77008,1090,2.29,1,0,1,0,1940.0,1.0,3,8.0,0.3,5,0.3,5,0.4,0,-35000,25,6599.34,6.0,0.3333333333333333
29.799677,-95.4006,850000,3.0,4,2171.0,77008,1090,2.29,0,0,1,0,1920.0,1.0,0,4.0,0.6,5,0.3,5,0.5,0,0,0,4996.332,4.666666666666667,0.4666666666666666
29.796862,-95.40272,715000,3.0,2,1868.0,77008,1090,2.29,1,0,1,0,1930.0,2.0,2,4.0,0.4,5,0.6,5,0.6,1,140000,843,6600.0,4.666666666666667,0.5333333333333333
29.794888,-95.40204,550000,3.0,1,1488.0,77008,1090,2.29,1,0,1,0,1930.0,1.0,2,4.0,0.4,5,0.7,5,0.6,0,-24000,70,6599.34,4.666666666666667,0.5666666666666668
29.788965,-95.40523,765000,3.0,2,2051.0,77008,1090,2.29,1,0,1,0,1920.0,1.0,1,4.0,0.4,6,1.2,5,0.8,1,505100,4018,4356.0,5.0,0.8000000000000002
29.789602,-95.398315,481000,2.0,3,2484.0,77008,1090,2.29,0,0,1,0,1920.0,2.0,0,8.0,0.3,6,0.8,5,0.5,1,174000,1875,2739.924,6.333333333333333,0.5333333333333333
29.785765,-95.40631,675000,2.0,1,1170.0,77007,1090,2.29,0,0,1,0,1936.0,1.0,0,4.0,0.5,6,1.3,5,1.0,0,-25000,37,7583.796,5.0,0.9333333333333332
29.786724,-95.400696,750000,0.0,0,1600.0,77007,1090,2.29,0,0,1,0,1970.0,2.0,0,8.0,0.3,6,0.9,5,0.7,0,0,0,6534.0,6.333333333333333,0.6333333333333333
29.78674,-95.39957,799000,3.0,3,2267.0,77007,1090,2.29,1,0,1,0,1995.0,1.0,2,8.0,0.2,6,0.9,5,0.7,0,-100000,1948,6599.34,6.333333333333333,0.6
